Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
1/1/2012 0:00,-1.8,-3.9,86,4,8,101.24,Fog
1/1/2012 1:00,-1.8,-3.7,87,4,8,101.24,Fog
1/1/2012 2:00,-1.8,-3.4,89,7,4,101.26,"Freezing Drizzle,Fog"
1/1/2012 3:00,-1.5,-3.2,88,6,4,101.27,"Freezing Drizzle,Fog"
1/1/2012 4:00,-1.5,-3.3,88,7,4.8,101.23,Fog
1/1/2012 5:00,-1.4,-3.3,87,9,6.4,101.27,Fog
1/1/2012 6:00,-1.5,-3.1,89,7,6.4,101.29,Fog
1/1/2012 7:00,-1.4,-3.6,85,7,8,101.26,Fog
1/1/2012 8:00,-1.4,-3.6,85,9,8,101.23,Fog
1/1/2012 9:00,-1.3,-3.1,88,15,4,101.2,Fog
1/1/2012 10:00,-1,-2.3,91,9,1.2,101.15,Fog
1/1/2012 11:00,-0.5,-2.1,89,7,4,100.98,Fog
1/1/2012 12:00,-0.2,-2,88,9,4.8,100.79,Fog
1/1/2012 13:00,0.2,-1.7,87,13,4.8,100.58,Fog
1/1/2012 14:00,0.8,-1.1,87,20,4.8,100.31,Fog
1/1/2012 15:00,1.8,-0.4,85,22,6.4,100.07,Fog
1/1/2012 16:00,2.6,-0.2,82,13,12.9,99.93,Mostly Cloudy
1/1/2012 17:00,3,0,81,13,16.1,99.81,Cloudy
1/1/2012 18:00,3.8,1,82,15,12.9,99.74,Rain
1/1/2012 19:00,3.1,1.3,88,15,12.9,99.68,Rain
1/1/2012 20:00,3.2,1.3,87,19,25,99.5,Cloudy
1/1/2012 21:00,4,1.7,85,20,25,99.39,Cloudy
1/1/2012 22:00,4.4,1.9,84,24,19.3,99.32,Rain Showers
1/1/2012 23:00,5.3,2,79,30,25,99.31,Cloudy
1/2/2012 0:00,5.2,1.5,77,35,25,99.26,Rain Showers
1/2/2012 1:00,4.6,0,72,39,25,99.26,Cloudy
1/2/2012 2:00,3.9,-0.9,71,32,25,99.26,Mostly Cloudy
1/2/2012 3:00,3.7,-1.5,69,33,25,99.3,Mostly Cloudy
1/2/2012 4:00,2.9,-2.3,69,32,25,99.26,Mostly Cloudy
